Symbol,Weights
AC.PA,0.0
ACA.PA,0.04804123245172218
AI.PA,0.024848302133905452
AIR.PA,0.022354654865440787
BN.PA,0.04116705888995129
BNP.PA,0.05135126507577564
BVI.PA,0.014945171216481602
CA.PA,0.044533441587185384
CAP.PA,0.0018060595256502129
CS.PA,0.051683378137324126
DG.PA,0.048042322173090755
DSY.PA,0.0
EDEN.PA,0.02107880683636362
EL.PA,0.0
EN.PA,0.07181498467128777
ENGI.PA,0.04713841824628754
ERF.PA,0.039344997106150525
GLE.PA,0.046905636233966666
HO.PA,0.14619407306766663
KER.PA,0.0
LR.PA,0.0
MC.PA,0.0
ML.PA,0.00693346831654373
MT.AS,0.010994103932919455
OR.PA,0.017336522115464485
ORA.PA,0.04366776307711977
PUB.PA,0.0
RI.PA,0.0
RMS.PA,0.0
RNO.PA,0.000847327874023813
SAF.PA,0.015206446602780763
SAN.PA,0.01995762554813333
SGO.PA,0.005330117110673948
STLAM.MI,0.0
STMPA.PA,0.0
SU.PA,0.0
TEP.PA,0.028478843551190115
TTE.PA,0.04912433889084505
UBLB.F,0.008015841178677029
VIE.PA,0.0728582203086776
